clave,nombre
01AAN-85,Actopan
01AAP-85,Apaplastic
01ACC-85,Aceros Corsa
01ACM-85,Aceros Camesa
01ACN-85,Aceros Nacionales
01ACO-230,Acolman
01ACS-230,Aceros Corsa
01AGU-230,Aguilas
01AGV-85,Agua Viva
01AIN-115,Atlacomulco Industrial
01ALR-85,Alpura
01AMO-85,Amomolulco
01ANL-85,Atotonilco
01ANM-115,Agustin Millan
01ANS-85,San Andres
01ANU-115,Arcelia Nueva
01ANU-69,Arcelia Nueva
01ARA-85,Aragon
01ARX-230,Armex
01ASK-230,ASF-K Mexico
01ATE-230,Atenco
01ATE-85,Atenco
01ATG-69,Arteaga
01ATI-230,Atizapan
01ATK-230,Aztecas
01ATM-115,Altamirano Dos
01ATS-115,APM Terminals
01ATU-115,Atlacomulco Mexico
01AUM-85,Auto Metales
01AUO-115,Aculco
01AUR-230,Aurora
01AVA-115,Avandaro
01AVT-85,Avante Textil
01AYO-230,Ayotla
01AZC-230,Azcapotzalco
01BAR-85,Barrientos
01BBR-115,Santa Barbara
01BBV-230,BBVA Centro Tecnologico America
01BDK-85,Becton Dickinson
01CAH-85,Cementos Anahuac
01CAR-85,Careaga
01CAY-115,Cayacal
01CCM-115,Cerro del Campo
01CCZ-230,Cementera Cruz Azul
01CDS-85,Condesa
01CEA-85,Cementos Apaxco
01CEI-230,Ceilan
01CFD-230,Cofraida Dos
01CFI-230,Cofraida
01CFZ-85,Cementos Fortaleza
01CHA-85,Chalco
01CHE-85,Campos Hermanos
01CHN-230,Chimalhuacan Movil
01CJM-230,Cuajimalpa
01CMC-230,Cuauhtemoc
01CMO-115,Campo Morado
01CNA-69,Cardenas
01COA-230,Coapa
01COM-115,Comalco
01COY-230,Coyoacan
01CPG-230,Chapingo
01CPM-230,Carton y Papel de Mexico
01CRG-230,Cerro Gordo
01CRG-85,Cerro Gordo
01CRM-85,Carmen
01CRS-230,Contreras
01CRU-230,Santa Cruz
01CSN-115,Canchesda Nueva
01CSR-115,Carbon Ser
01CTD-230,Contadero
01CTG-230,Cartagena
01CTT-85,Cuautitlan
01CVD-85,Covadonga
01CYO-85,Coyotepec
01DAA-230,Diana
01DCA-85,Dos Carlos
01DCO-85,De Acero
01DOG-115,Donato Guerra
01DVA-230,Deportiva
01ECA-230,Ecatepec
01ECB-115,Subestacion Cuatro Bombeo
01ECR-230,El Cerrito
01EDB-115,Subestacion Dos Bombeo
01ELG-115,El Gallo
01ENB-115,Subestacion Cinco Bombeo
01ESB-115,Subestacion Seis Bombeo
01EST-230,Estadio
01ETB-115,Subestacion Tres Bombeo
01EUB-115,Subestacion Uno Bombeo
01EVD-230,El Vidrio
01FMC-85,Ford Motor Co
01FPG-115,San Felipe del Progreso
01FRR-115,San Francisco de los Reyes
01GMC-85,General Motors de Mexico
01GMY-115,Guacamaya
01GUA-85,Guadalupe
01HTC-85,Huasteca
01HTM-115,Huetamo
01HTT-85,Huehuetoca
01INM-85,Industria Militar
01INN-85,Indianilla
01INS-85,Insurgentes
01INU-115,Industrias Unidas
01IRO-230,Irolo
01ISC-85,Industrial San Cristobal
01ISO-115,San Isidro
01ITD-115,Ixtlahuaca Dos
01IUN-115,Iusasol 1
01IXL-230,Ixtapaluca
01IXS-115,Ixtapan de la Sal Mexico
01IXT-115,Ixtapantongo
01IZT-230,Iztapalapa
01JAM-85,Jamaica
01JAS-85,Jasso
01JCP-85,Juchitepec
01JDV-85,Jugos del Valle
01JID-115,Jilotepec Industrial
01JIL-115,Jilotepec Mexico
01JJA-85,Jajalpa
01JLC-230,Jabon La Corona
01JRB-230,Jorobas
01JUA-85,Juando
01KCR-230,Kilometro  0
01KDM-85,Chrysler de Mexico
01LAC-115,La Ceiba
01LAP-230,La Paz
01LAQ-85,La Quebrada
01LAZ-85,San Lazaro
01LCD-115,Lazaro Cardenas Distribucion
01LCP-230,Lazaro Cardenas Potencia
01LCP-400,Lazaro Cardenas Potencia
01LCT-85,La Costeña
01LEC-85,Lecheria
01LER-85,Lerma
01LES-115,La Estancia
01LFG-230,Lafarge
01LOM-85,Loma
01LQX-85,Liquimex
01LVE-230,Lomas Verdes
01MAD-230,Madero
01MAG-85,Magdalena
01MER-230,Merced
01MGR-85,Milagros
01MIR-115,Mina Real
01MLP-230,Chimalpa
01MOR-230,Morelos
01MOS-85,Morales
01MTI-115,Minera Tizapa
01MZA-85,Moctezuma
01NAR-230,Narvarte
01NAR-85,Narvarte
01NAU-85,Naucalpan
01NEC-85,Necaxa
01NET-85,Netzahualcoyotl
01NFA-85,Nueva Fanal
01NIS-85,Nissan
01NLE-85,Nestle
01NON-85,Nonoalco
01NTG-115,Nutrigo
01OCE-230,Oceania
01ODB-230,Odon de Buen
01OLI-230,Olivar
01OTM-230,Otumba Maniobras
01PAC-85,Pachuca
01PAT-85,Patera
01PCC-85,Puesto Central de Control
01PDO-115,Papelera el Nevado
01PEN-230,Pensador
01PEV-230,Peralvillo
01PEX-85,Pemex
01PHC-230,Papeles higienicos del Centro
01PIR-85,Parque Industrial Reforma
01PIT-400,Pitirera
01PLO-115,Placeres del Oro
01PLZ-115,Palizada Mexico
01PMT-115,Productora Mexicana de Tuberia
01PMX1115,PEMEX
01PMX2115,PEMEX
01PNN-230,Punta Norte
01PNT-85,Pantitlan
01POO-230,Polanco
01PQI-115,Parque Industrial
01PRO-85,Propimex
01PSR-85,Papelera San Rafael
01PTH-85,Puerta de Hierro
01PTL-85,Patla
01PXA-85,Pemex Azcapotzalco
01PYG-230,Procter and Gamble
01RAT-230,Planta de Aguas Residuales Atotonilco
01RBS-85,Robert Bosch
01REF-85,Reforma
01REM-230,Remedios
01REM-85,Remedios
01RES-230,Los Reyes
01RES-85,Reyes
01RSL-230,El Rosal
01SAF-85,Safmex
01SAO-85,Salto
01SCD-230,Sicartsa Dos
01SDI-85,San Diego
01SKP-85,Smurfit Kappa
01SMT-115,San Mateo
01SNG-230,San Angel
01SOX-230,Sosa Texcoco
01SSE-115,San Sebastian
01SSO-85,San Francisco
01SSP-85,Secretaria de Seguridad Publica
01STU-115,Santiago Tlautla
01TAC-85,Tacuba
01TAX-230,Taxqueña
01TAX-85,Taxqueña
01TCC-230,Tula Ciclo Combinado
01TCM-230,Tecamac
01TDK-230,Toluca 2000
01TDV-85,Tenango del Valle
01TEH-230,Tecamachalco
01TEP-85,Tepexic
01TIA-230,Tianguistenco
01TIN-115,Tingambato
01TIZ-230,Tizayuca
01TJP-115,Tejupilco Edo de Mexico
01TKM-230,Tecamac Movil
01TLG-85,Tulancingo
01TLT-85,Tolteca
01TMA-115,Tres Marias
01TOL-85,Toluca
01TOP-230,Topilejo
01TPA-115,Tlapehuala
01TPZ-85,Tepotzotlan
01TQC-115,Tiquicheo
01TRX-85,Trimex
01TTC-230,Totoltepec
01TTH-230,Teotihuacan
01TTO-85,Tlatelulco
01TTT-115,Texcaltitlan
01TUL-230,Tula
01TUL-400,Tula
01TYA-230,Tacubaya
01VAE-230,Valle de Mexico
01VAJ-230,Vallejo
01VDF-85,Villa de las flores
01VDM-85,Valle de Mexico Turbogas
01VDT-85,Vidriera Toluca
01VER-230,Vertiz
01VFI-85,Vitro Fibras
01VGU-115,Villa Guerrero
01VIC-230,Victoria
01VIC-85,Victoria
01VIL-230,Villita
01VIT-85,Vito
01VLR-85,Vidriera los Reyes
01VPM-85,Vidrio Plano de Mexico
01VRN-230,Veronica
01VRN-85,Veronica
01VTU-85,Valle Tulancingo
01XAL-230,Xalostoc
01XOC-230,Xochimilco
01YBC-115,Yebucibi
01ZAE-85,Zapata Embases
01ZAR-230,Zaragoza
01ZIC-85,Zictepec
01ZIR-69,Zirandaro
01ZUM-85,Zumpango
02AAA-115,Acala
02ABL-115,AB Calsa
02ACA-115,Acatlan
02ACJ-115,Acajete
02ACY-115,Acayucan
02ACZ-115,Acatzingo
02ADD-115,Agua Dulce Dos
02ADS-115,Andres Dos San
02AEN-115,Atencingo
02AGA-115,Agua Santa
02AGF-69,Agua Fria
02AHZ-115,Acahuizotla
02AMF-115,Auto Manufacturas
02AMN-115,Aluminio
02AMZ-115,Amozoc
02ANC-115,Ana Chiautempan Santa
02ANG-400,Angostura
02AOC-115,Actopan
02AOS-115,Los Arcos
02APC-115,Acapulco
02API-115,Apizaco Dos
02ARC-115,Adolfo Ruiz Cortinez
02ARG-115,Agronitrogenados
02ARP-69,Aeropuerto
02ARR-115,Arriaga
02ARU-115,Aeropuerto
02ASI-115,Aquasistemas
02ATC-115,Atlixco
02ATX-230,Aceros Tlaxcala
02ATZ-115,Atlihuetzia
02AUN-115,Antuñano
02AVD-115,Alvarado Dos
02AXO-115,Atexcaco
02AXT-115,Atlixcayotl
02AYA-115,Acacoyaua
02AYT-115,Ayutla
02AZA-115,Agua Zarca
02AZY-115,Altzayanca
02BAA-115,Balsas
02BCH-115,Bochil
02BDD-115,Belisario Dominguez II
02BDR-115,Boca del Rio
02BDZ-115,Belisario Dominguez
02BGS-115,Bugambilias SF6
02BJU-115,Benito Juárez
02BNL-115,Bonfil
02BOE-115,Bosques
02BPP-115,Bio Pappel Printing
02BRN-115,Barra Norte
02BRS-115,Las Brisas
02BVI-115,Buena Vista
02CAC-115,Carlos A. Carrillo
02CAE-115,Cardel
02CAO-115,Comalcalco Oriente
02CAX-115,Cactus Pemex
02CAY-115,Cayaco
02CAZ-115,Costa Azul
02CBE-400,Ciclo Combinado Centro
02CBM-115,Cebadas y Maltas
02CBS-115,Cordoba Dos
02CCA-115,Cementos Cruz Azul
02CCL-69,Cecilio del Valle
02CCS-115,Chilpancingo Dos
02CDD-115,Cardenas Dos
02CDN-115,Cardenas
02CDO-115,Cerro Azul Dos
02CDX-115,Ciudad Textil
02CEF-115,Centro de Exposiciones y Convenciones Fuertes
02CEM-115,Cementos Apasco
02CEO-115,El Cerro
02CFV-115,CEFERESO Villacomaltitlan
02CGC-115,Cogeneracion de Energia Limpia de Cosoleacaque
02CGJ-115,Complejo Petroquimico Cangrejera
02CGN-115,Cruz Grande
02CGO-115,Cd Hidalgo Chiapas
02CHD-115,Chinameca Dos
02CHG-115,Chilpancingo
02CHH-115,Chignahuapan
02CHI-115,Chicontepec
02CHP-115,Chilapan
02CHT-115,Chontalpa
02CIC-115,Canticas
02CIH-115,Cd Industrial Villahermosa
02CIL-115,Cuautla Industrial
02CIO-85,Centenario
02CIP-115,Chilapa
02CIT-115,Cintalapa Dos
02CIV-115,Civac
02CIY-115,Cinco de Mayo
02CJT-115,Comitan
02CLO-115,Cloro de Tehuantepec
02CLS-115,Celanese
02CLT-69,Colotlipa
02CMA-115,Cerveceria Moctezuma
02CMT-115,Cementos Moctezuma
02CNJ-115,Conejos
02CNM-115,Carmen
02CNU-115,Contla
02CNX-115,Cogeneracion Nuevo Pemex
02COM-115,Comalcalco
02COP-115,Coatepec
02COR-115,Cordoba
02CPA-115,Coapan
02CPL-115,Calpulalpan
02CPO-115,Chapulco
02CPQ-115,Complejo Petroquimico Cosoleacaque
02CPX-115,Ciudad Pemex
02CRI-115,Cristobal San
02CRL-115,El Caracol
02CRL-230,El Caracol
02CRX-115,Cryo  Infra Dos
02CRY-115,Cryo Infra
02CSE-115,Coscomatepec
02CSL-115,Cosolapa
02CSS-115,Cementos Apasco
02CSU-115,Cardenas Sur
02CSX-115,Cactus Switcheo
02CTH-115,Cuitlahuac
02CTM-115,Cuauhtemoc
02CTO-115,Catemaco
02CTS-115,Coatzacoalcos Dos
02CTX-115,Crisol Textil
02CUA-115,Cuautla
02CUE-85,Cuernavaca
02CUG-115,Cruces Generacion
02CUH-115,Cuchapa Pemex
02CUM-230,Cementos Moctezuma
02CUS-115,Cuautla Dos
02CUX-115,Cuicatlan
02CVE-115,Cementos Veracruz
02CVN-115,Cavernas Tuzandepetl
02CVT-115,Cerveceria del Tropico
02CYC-115,Coyuca
02CYR-400,CYCNA de Oriente
02CYX-115,CryoInfra - Praxair
02CZN-115,Cazones
02CZT-115,Coatzintla
02DBC-115,Dos Bocas Ciclo Combinado
02DBC-230,Dos Bocas Ciclo Combinado
02DBX-115,Dos Bocas Pemex
02DIN-69,Distrito Industrial
02DUA-115,Cunduacan
02DXM-115,DPA Draexlmaier Partes Automotoras de Mexico
02EAS-115,Eastman
02ECM-115,Escamela
02ECN-115,El Conde
02ECT-115,Encanto
02EDO-115,Cerro de Oro
02EJT-115,Ejutla
02ELC-115,El Castillo
02EMZ-115,Emiliano Zapata
02EOC-230,Parques Eolicos Oaxaca IV
02EOD-230,Parques Eolicos Oaxaca II
02EOT-230,Parques Eolicos Oaxaca III
02ERZ-115,Esperanza
02ESF-115,Esfuerzo
02ETD-115,Entabladero
02ETT-115,El Treinta
02ETX-115,Etla
02EXE-115,Excelopolis
02EZA-115,Zapata Poniente
02FCM-115,Frontera Comalapa
02FEM-115,Fermex
02FJM-115,Forjamex
02FLM-115,Flores Magon
02FNQ-115,Feno Quimia
02FOR-115,Fortin
02FRT-115,Frontera
02FRY-115,Franboyanes
02FUE-115,Fuertes
02GAN-115,Guadalupe Analco
02GAR-115,Garita
02GBA-115,Gabino Barreda
02GDM-115,Global Denim
02GIA-115,Grijalva
02GIR-115,Girandas Pemex
02GIS-115,El Girasol
02GLM-115,La Gloria Maniobras
02GRA-115,Gran Prideco
02GRE-115,Gresaise
02GRT-115,La Granja Tres
02GZD-115,Gutierrez Zamora Dos
02HCO-115,Huatulco
02HEL-115,Helipuerto
02HJO-115,Huejotzingo
02HJP-115,Huajuapan
02HMG-115,Huimanguillo
02HMS-115,Humeros Los
02HMT-115,Humeros Tres
02HOC-115,Hueyapan de Ocampo
02HTP-115,Huixtepec
02HTU-115,Huatusco
02HUA-115,Huamantla
02HUJ-69,Huautla de Jimenez
02HUU-115,Huamuxtitlan
02HUX-115,Huixtla
02HYN-115,Hueyapan
02ICD-115,CryoInfra Cardenas
02ICS-115,Industrial Cuautla Dos
02IDE-115,Idesa
02IFN-115,Infonavit
02IGP-115,Igsapak Cogeneracion S.A.P.I de C.V.
02IGU-115,Iguala
02INT-115,Industrial
02IPA-115,Industrial Patrona
02IPD-115,Independencia
02IPO-115,Ixtepec Potencia
02IPO-230,Ixtepec Potencia
02IQU-115,Iquisa
02ISL-115,Isla
02ISN-115,Ingenio San Nicolas
02ITU-115,Itundujia
02IVH-115,Infra Villa Hermosa
02IXH-115,Ixhuatlan de Madero
02IXJ-115,Ixtlan de Juarez
02IXP-115,Ixtepec
02IZD-115,Izucar de Matamoros Dos
02IZM-115,Izucar de Matamoros
02JAA-115,Jalpa
02JBL-115,J. B. Lobos
02JDD-230,Xalapa de Diaz
02JIC-115,El Jicaro
02JIU-115,Jiutepec
02JJT-115,Jojutla
02JLD-115,Jalapa Dos
02JOC-230,San Jose Chiapa
02JRN-115,San Jeronimo
02JTL-115,San Jacinto Tlacotepec
02JUC-115,Juchitan Uno
02JUD-115,Juchitan Dos
02JUD-230,Juchitan Dos
02JUY-115,Juy Juy
02KIA-115,Kimberly Clark Ampliacion 
02KIC-115,Kimberley Clark Pue
02KIM-115,Kimberley Clark Ver
02KRU-115,Krupp
02LAT-115,Los Amates
02LAV-400,Laguna Verde
02LBD-115,Loma Bonita Dos
02LBR-115,La Barra
02LCH-115,La Choca
02LCJ-115,Lacanja
02LGP-115,La Guadalupe
02LGZ-115,La Garza
02LHD-115,Las Choapas Dos
02LIB-115,Libres
02LJU-115,Las Juntas
02LME-115,Lopez Mateos
02LML-115,Almecatla
02LMM-115,Lomas Del Mar
02LMX-115,Liberacion Mexicana
02LOA-115,Lamosa
02LOC-115,Lomas Cocoyoc
02LPA-115,Las Palomas
02LRD-115,Lerdo
02LRP-115,Sn Lorenzo Potencia
02LRZ-115,San Lorenzo
02LSL-115,Lapsolite
02LTP-115,Laguna de tres palos
02LVA-115,La Curva
02LVD-230,La Venta Dos
02MAA-115,Mactumatza
02MAP-115,Mapastepec
02MAR-115,San Martin
02MAS-115,Las Matas
02MAU-115,Minera Autlan
02MAZ-115,Mazatan
02MCB-115,Mocambo
02MCD-115,Macuspana Dos
02MCL-115,Macultepec
02MCN-115,Minera Cuzcatlan
02MCP-115,Macuspana
02MDD-115,Martinez de la Torre Dos
02MEC-115,Metepec
02MET-115,Metaloides
02MEZ-115,Mezcalapa
02MFB-115,Minera Filos-Bermejal
02MGS-115,Las Margaritas
02MHT-115,Miahuatlan
02MID-400,Minatitlan Dos
02MIP-115,Mundo Imperial
02MIS-69,Minas
02MIU-115,Minatitlan uno
02MLC-230,Malinche
02MLN-115,Malinaltepec
02MLU-115,Media Luna
02MMT-400,Manuel Moreno Torres
02MOA-115,El Moral
02MOZ-115,Mozimba
02MPE-115,Malpaso Tres
02MPH-115,Matapionche
02MPR-115,Maniobras PRO MDF
02MPS-115,Malpaso
02MPS-400,Malpaso
02MRA-115,La Mira
02MRO-115,Matias Romero
02MSD-115,Misantla Dos
02MTL-115,Metlatonoc
02MTO-115,Motozintla
02MTT-115,Martines de la Torre Tres
02MTX-115,Mitla
02MUD-115,Miahuatlan Dos
02MVE-115,Metalurgica Veracruzana
02MZL-115,Mezcala
02MZT-230,Mazatepec
02NCH-115,Nochixtlan
02NGL-115,Nogales
02NMO-115,Nuevo Morelos
02NND-115,Nanchital dos
02NOR-115,Norte
02NPX-115,Nuevo Pemex
02NSN-115,Nissan
02OAP-115,Oaxaca Poniente
02OAX-115,Oaxaca
02OCO-115,Ocozingo
02OCZ-115,Ocozocuautla
02OLN-115,Olinala
02OME-115,Omealca
02OMT-115,Ometepec
02ORI-115,Orizaba
02ORT-115,Oriente
02OWC-115,Owens Corning Violet Mexico
02OXC-115,Oxchuc
02OXD-115,Oaxaca Dos
02PAG-115,Pages
02PCO-115,Pichucalco
02PDI-115,Playa Diamante
02PDM-115,Puebla Dos Mil
02PDT-115,Paso del Toro
02PEA-115,Peñitas
02PEA-230,Peñitas
02PEC-115,Proteinas el Calvario
02PED-115,Peñitas Dos
02PEE-115,Perote Dos
02PEI-115,Complejo Petroquimico Independencia
02PFR-115,Puerto Franco
02PGC-115,Procter & Gamble Manufacturas
02PIN-115,Pinotepa Nacional
02PJD-115,Pajaritos Dos
02PJJ-115,Pijijiapam
02PLB-115,Palmar de Bravo
02PLI-115,Punta Limon
02PLL-115,Parrilla
02PLQ-115,Palenque
02PLS-115,Polidesa
02PMC-115,Pomoca
02PMM-115,Palmas
02PMO-115,Complejo Petroquimico Morelos
02PNA-115,Panotla
02PNS-115,Piedras Negras
02POC-115,Pochutla
02PON-115,Poniente
02POR-115,Porcel
02POZ-115,Pozos Huazuntlan
02PPG-115,Papagayo
02PPL-115,Papalotla
02PPN-115,Papanoa
02PPX-115,Paredon Pemex
02PQS-115,Petroquimica Escolin
02PRI-115,Poza Rica
02PRI-69,Poza Rica
02PRQ-115,Parque Industrial
02PRT-69,Poza Rica Tres
02PSF-115,Puebla Uno SF6
02PSG-115,Proenermex Santa Gertrudis
02PSO-115,Paraiso
02PTD-115,Potrero Dos
02PTI-85,Puente de Ixtla
02PTM-115,Puerto Madero
02PTT-115,Petatlan
02PTU-230,Papelera Tuxtepec
02PUC-115,Puerto Chiapas
02PUE-115,Puerto Escondido
02PUI-115,Punta Ixtapa Gro
02PUM-115,Puerto Marquez
02PVC-115,Playa Vicente
02PYN-115,Playa Norte
02PYS-115,Playas
02PZR-115,Pozos Raney
02QMD-115,Quemado
02QMD-69,Quemado
02RBO-115,Rio Blanco
02RDB-115,Real del Bosque
02RDC-115,Rodriguez Clara
02REN-115,Renacimiento
02RFA-115,La Reforma
02RFD-115,San Rafael Dos
02RLC-115,Refineria Lazaro Cardenas Reconfiguracion
02RMC-115,Reyes Mantecon
02RME-115,Rio Medio
02RMN-115,Refineria Minatitlan
02RNA-115,La Reina
02RSC-115,Refineria Salina Cruz
02RSN-115,Resurreccion
02RSO-115,Santa Rosa
02SAC-115,Salina Cruz
02SCF-115,Sacrificios
02SCH-115,Schpoina
02SCO-115,San Cristobal Oriente
02SES-115,Sistemas Energeticos SISA
02SFO-115,San Felipe Oaxaca
02SIA-115,Sintesis Organicas Tlaxcala
02SIV-115,Sivesa
02SLS-115,San Luis San Pedro
02SLU-115,San Luis Acatlan
02SMF-115,San Miguel Santa Flor
02SMG-115,San Miguel
02SMI-115,Samaria
02SMJ-115,Simojovel
02SNF-115,Santa Fe
02SNL-115,San Luis
02SNS-115,Santa Sofia
02SNT-115,Sanchez Taboada
02SOD-115,Soledad de Doblado
02SOY-115,Soyalo
02SRB-115,Sarabia
02SSM-115,San Luis Morelia
02STD-115,Santo Domingo
02STN-115,Santa Anita
02SWA-115,Switcheo Arriaga
02SYA-115,Saloya
02TAD-115,Tamazulapan Dos
02TAE-115,Tapachula Aeropuerto
02TAJ-115,Tajin
02TAN-115,Tlapa Nueva
02TAT-115,Tamulte
02TBH-85,Tabachines
02TBL-115,Tierra Blanca
02TBQ-115,Tabasquillo
02TCA-115,Tecpan
02TCE-115,Tlacotepec
02TCH-115,Tapachula
02TCL-115,Tecali
02TCT-115,Tacotalpa
02TCX-115,Tecomaxtlahuaca
02TDD-115,Tamarindo Dos
02TEZ-115,Tezoyuca
02TGD-115,Tuxtla Gutierrez Dos
02TGU-115,Tuxtla Gutierrez
02THD-115,Tihuatlan Dos
02THN-115,Tehuacan
02THT-115,Tehuantepec
02THU-115,Tlacoachistlahuaca
02TIE-115,Tierra Colorada
02TIL-69,Tilapa
02TIT-115,Tixtla
02TJA-115,Tejalpa
02TJR-115,El Tejar
02TKN-115,Textiles KN de Oriente
02TLD-115,Tecamachalco II
02TLE-115,El Tule
02TLL-115,Tlacolula
02TLM-115,Telmac
02TLN-115,Tulipan
02TLY-115,Tlapacoyan
02TLZ-85,Tlaltizapan
02TML-115,Tecamachalco
02TMU-115,Temascal Uno
02TMU-230,Temascal Uno
02TMX-85,Temixco
02TNA-115,Tonala
02TNI-115,Trinitaria
02TNJ-115,La Tinaja
02TNL-115,Tecnologico
02TNP-115,Tapanatepec
02TNQ-115,Tenosique
02TNZ-115,Tonantzintla
02TOC-230,Cementos Tolteca
02TOE-115,Tapachula Oriente
02TOY-115,Troy
02TPE-115,Tepeaca
02TPG-115,Tuxpango
02TPI-115,Tepeji
02TPJ-115,Tapijulapa
02TPL-115,Tepalcingo
02TPS-115,Tuxtepec Tres
02TPY-115,Tepeyac Veracruz
02TRN-115,Las Trancas
02TRP-230,Ternium Mexico - Largos Puebla  
02TRT-115,Tereftalatos
02TSD-230,Tamsa Dos
02TTA-115,Tlacotalpan
02TTB-115,Teapa Tabasco
02TTE-400,Tres Estrellas
02TTG-115,Altotonga Dos
02TTM-115,Industrial Textil de Puebla
02TTP-115,Tlacotepec
02TUD-115,Tuxpan Dos
02TUQ-115,Tlatlahuquitepec
02TUV-400,Tuxpan Vapor
02TVS-115,Tres Valles
02TXD-115,Tuxtepec Dos
02TXI-115,Tlaxiaco
02TXN-115,Tuxtla Norte
02TXO-115,Taxco
02TXS-115,Tuxtla Sur
02TYS-115,Talleres y Aceros
02TZD-115,Teziutlan Dos
02TZT-115,Teziutlan
02UCT-115,Union Carbide Teapa
02UNL-115,Uniliver
02UNN-115,La Union
02UXD-115,Uxpanapa Dos
02UXU-115,Uxpanapa Uno
02VAN-115,Valle Nacional
02VDA-115,Vega de Alatorre
02VED-115,La Venta Dos
02VEN-69,Venta
02VFD-115,Villa Flores Dos
02VGS-115,Las Vigas Dos
02VHC-115,Villahermosa Centro
02VID-115,Villahermosa Dos
02VIP-115,Villahermosa poniente
02VIS-115,Vistamar
02VIU-115,Villahermosa Uno
02VMN-230,La Venta Maniobras
02VRU-115,Veracruz Uno
02VSE-115,Valsequillo
02VTB-115,Vidriera de Tierra Blanca
02VWG-115,Volkswagen
02XCH-85,Xochicalco
02XIP-85,Xicotepec
02XIT-115,Xicotencatl
02YCP-230,Yecapixtla
02YOL-115,Yolomecatl
02ZAP-85,Zapata
02ZGL-115,Zongolica
02ZHD-115,Zihuatanejo Dos
02ZIH-115,Zihuatanejo
02ZIP-115,Zinacatepec
02ZNT-115,Zanatepec
02ZOP-115,El Zopo
02ZPD-115,Zapata Dos
02ZTP-115,Zacatepec
02ZXP-115,Zacapoaxtla
03ABL-115,Arboledas
03ABO-115,El Arbolito
03ABS-115,Abasolo
03ABT-115,Abastos
03ACC-69,Aceros Corey
03ACE-115,Aceros San Luis
03ACP-115,Acaponeta
03ACR-115,Aceleran
